Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
Wednesday,Mel Gibson,drama,The Passion of the Christ,25/02/2004,New Market Films,770.3,25,611.9,7.1,3.19,241.1,39.4,586.9,2347.6,127,370.8,60.6
Friday,Kevin Costner,adventure,Dances with Wolves,9/11/1990,Orion,771.8,19,424.2,8,3.74,240,56.6,405.2,2132.6,181,184.2,43.4
Friday,"Eric Darnell, Conrad Vernon, Tom McGrath",animation,Madagascar 3: Europe's Most Wanted,8/06/2012,Pacific Data/DreamWorks,773.6,145,746.9,7,3.32,530.5,71,601.9,415.1,93,216.4,29
Friday,Tony Scott,action,Top Gun,16/05/1986,Paramount Pictures,774.2,15,356.8,6.8,3.41,177,49.6,341.8,2278.7,110,179.8,50.4
Friday,James Gunn,action,Guardians of the Galaxy,1/08/2014,Buena Vista Studios,777.7,170,774.2,8.1,3.85,441,57,604.2,355.4,121,333.2,43
Friday,Carlos Saldanha,animation,Ice Age: The Meltdown,31/03/2006,Fox,779.6,75,660.9,6.9,3.35,465.6,70.4,585.9,781.2,91,195.3,29.6
Tuesday,Marc Webb,action,The Amazing Spider-Man,3/07/2012,Sony,785,230,757.9,7.1,3.22,495.9,65.4,527.9,229.5,136,262,34.6
Friday,Chris Weitz,drama,The Twilight Saga: New Moon,20/11/2009,Summit Entertainment,786.8,50,709.8,4.6,2.58,413.2,58.2,659.8,1319.6,130,296.6,41.8
Friday,Tim Burton,action,Batman,23/06/1989,WB,788.8,48,411.3,7.6,3.38,160.2,38.9,363.3,756.9,126,251.2,61.1
Friday,Brad Bird,animation,The Incredibles,5/11/2004,Buena Vista Studios,794.9,92,631.4,8,3.91,370,58.6,539.4,586.3,115,261.4,41.4
Friday,Justin Lin,action,Fast & Furious 6,24/05/2013,Universal,805.1,160,788.7,7.2,3.33,550,69.7,628.7,392.9,130,238.7,30.3
Wednesday,Michael Bay,action,Armageddon,1/07/1998,Buena Vista Studios,807.8,140,553.7,6.6,2.4,352.1,63.6,413.7,295.5,150,201.6,36.4
Friday,Pete Docter,animation,Up,29/05/2009,Buena Vista Studios,810.6,175,731.3,8.3,4.04,438.3,59.9,556.3,317.9,96,293,40.1
Tuesday,Michael Bay,action,Transformers,3/07/2007,Pacific Data/DreamWorks,814.1,151,709.7,7.1,3.33,390.5,55,558.7,370,144,319.2,45
Friday,Mike Mitchell,animation,Shrek Forever After,21/05/2010,Pacific Data/DreamWorks,820.8,165,752.6,6.4,3.27,513.9,68.3,587.6,356.1,93,238.7,31.7
Wednesday,Robert Zemeckis,adventure,Back to the Future,3/07/1985,Universal,842.3,19,381.1,8.5,3.91,170.5,44.7,362.1,1905.8,116,210.6,55.3
Friday,Garry Marshall,comedy,Pretty Woman,23/03/1990,Buena Vista Studios,843.1,14,463.4,6.9,3.43,285,61.5,449.4,3210,119,178.4,38.5
Wednesday,Gore Verbinski,action,Pirates of the Caribbean: The Curse of the Black Pearl,9/07/2003,Buena Vista Studios,845.6,125,654.3,8.1,3.86,348.9,53.3,529.3,423.4,143,305.4,46.7
Friday,Roland Emmerich,action,2012,13/11/2009,Sony,853.2,200,769.7,5.8,2.8,603.6,78.4,569.7,284.9,158,166.1,21.6
Wednesday,"Ron Clements, John Musker",animation,Aladdin,11/11/1992,Buena Vista Studios,854.4,28,504.1,8,3.68,286.7,56.9,476.1,1700.4,90,217.4,43.1
Thursday,George Lucas,sci-fi,Star Wars: Episode II - Attack of the Clones,16/05/2002,Fox,858.4,115,649.4,6.7,3.12,338.7,52.2,534.4,464.7,142,310.7,47.8
Friday,Bill Condon,drama,The Twilight Saga: Breaking Dawn Part 2,16/11/2012,Lionsgate/Summit,859.4,136.2,829.7,8.2,2.67,537.4,64.8,693.5,509.2,115,292.3,35.2
Friday,Chris Columbus,adventure,Home Alone,16/11/1990,Fox,867.3,15,476.7,7.4,3.09,190.9,40.1,461.7,3078,103,285.8,59.9
Thursday,Steven Spielberg,action,Indiana Jones and the Kingdom of the Crystal Skull,22/05/2008,Paramount Pictures,868.8,185,786.6,6.2,2.95,469.5,59.7,601.6,325.2,122,317.1,40.3
Wednesday,Barry Sonnenfeld,action,Men in Black,2/07/1997,Sony,873.3,90,589.4,7.2,3.56,338.7,57.5,499.4,554.9,98,250.7,42.5
Friday,Francis Lawrence,action,The Hunger Games: Catching Fire,22/11/2013,Lionsgate,882.9,130,864.9,7.7,3.73,440.2,50.9,734.9,565.3,146,424.7,49.1
Friday,Ron Howard,thriller,The Da Vinci Code,19/05/2006,Sony,894.4,125,758.2,6.5,3.13,540.7,71.3,633.2,506.6,149,217.5,28.7
Friday,Christopher Nolan,action,Inception,16/07/2010,WB,900.3,160,825.5,8.8,4.16,533,64.6,665.5,415.9,148,292.6,35.4
Friday,Andrew Adamson,adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",9/12/2005,Buena Vista Studios,907.1,180,745,6.9,3.48,453.3,60.8,565,313.9,143,291.7,39.2
Tuesday,James Cameron,action,Terminator 2: Judgment Day,2/07/1991,TriStar,907.6,100,519.8,8.5,3.93,315,60.6,419.8,419.8,137,204.8,39.4
Friday,"Steve Martino, Michael Thurmeier",animation,Ice Age: Continental Drift,13/07/2012,Fox,908.6,95,877.2,6.7,3.21,715.9,81.6,782.2,823.4,88,161.3,18.4
Wednesday,Steven Spielberg,action,Indiana Jones and the Last Crusade,24/05/1989,Paramount Pictures,909.4,48,474.2,8.3,4.01,277,58.4,426.2,887.9,127,197.2,41.6
Thursday,Steven Spielberg,action,The Lost World: Jurassic Park,22/05/1997,Universal,916.5,75,618.6,6.5,2.96,389.6,63,543.6,724.8,129,229.1,37
Friday,"Chris Miller, Raman Hui",animation,Shrek the Third,18/05/2007,Pacific Data/DreamWorks,916.6,160,799,6,3.09,476.2,59.6,639,399.4,93,322.7,40.4
Friday,Jerry Zucker,drama,Ghost,13/07/1990,Paramount Pictures,920.1,22,505.7,7,3.45,288.1,57,483.7,2198.6,127,217.6,43
Wednesday,Michael Bay,action,Transformers: Revenge of the Fallen,24/06/2009,Pacific Data/DreamWorks,927,210,836.3,6,2.95,434.2,51.9,626.3,298.2,150,402.1,48.1
Friday,John Badham,drama,Saturday Night Fever,16/12/1977,Paramount Pictures,930.4,3.5,237.1,6.8,3.28,142.9,60.3,233.6,6674.3,118,94.2,39.7
Thursday,"Lana Wachowski, Andy Wachowski",sci-fi,The Matrix Reloaded,15/05/2003,WB,959.1,127,742.1,7.2,3.3,460.6,62.1,615.1,484.3,138,281.6,37.9
Wednesday,Peter Jackson,adventure,The Hobbit: The Battle of the Five Armies,17/12/2014,WB,959.4,250,955.1,7.5,3.43,700,73.3,705.1,282,144,255.1,26.7
Friday,M. Night Shyamalan,drama,The Sixth Sense,6/08/1999,Buena Vista Studios,960.4,40,672.8,8.2,4.06,379.3,56.4,632.8,1582,107,293.5,43.6
Friday,Peter Jackson,adventure,The Hobbit: The Desolation of Smaug,13/12/2013,WB,980.4,250,960.4,8,3.74,702,73.1,710.4,284.2,161,258.4,26.9
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age: Dawn of the Dinosaurs,1/07/2009,Fox,982.9,90,886.7,7,3.4,690.1,77.8,796.7,885.2,94,196.6,22.2
Wednesday,Sam Raimi,action,Spider-Man 2,30/06/2004,Sony,986.7,200,783.8,7.3,3.55,410.2,52.3,583.8,291.9,127,373.6,47.7
Tuesday,"Chris Renaud, Pierre Coffin",animation,Despicable Me 2,2/07/2013,Universal,991,76,970.8,7.5,3.74,602.7,62.1,894.8,1177.4,98,368.1,37.9
Friday,Alfonso Cuar„n,adventure,Harry Potter and the Prisoner of Azkaban,4/06/2004,WB,"1,003",130,796.7,7.8,3.75,547.1,68.7,666.7,512.9,141,249.5,31.3
Friday,Steven Spielberg,action,Raiders of the Lost Ark,12/06/1981,Paramount Pictures,"1,020",20,389.9,8.6,4.21,141.8,36.4,369.9,1849.5,115,248.2,63.6
Friday,Sam Raimi,action,Spider-Man 3,4/05/2007,Sony,"1,022",258,890.9,6.2,3.02,554.3,62.2,632.9,245.3,139,336.5,37.8
Thursday,George Lucas,action,Star Wars: Episode III - Revenge of the Sith,19/05/2005,Fox,"1,033.50",115,848.8,7.7,3.47,468.5,55.2,733.8,638.1,140,380.3,44.8
Wednesday,David Yates,adventure,Harry Potter and the Half-Blood Prince,15/07/2009,WB,"1,035.70",250,934.4,7.5,3.82,632.5,67.7,684.4,273.8,153,302,32.3
Friday,David Yates,adventure,Harry Potter and the Deathly Hallows Part 1,19/11/2010,WB,"1,047.30",125,960.3,8.1,3.89,664.3,69.2,835.3,668.2,146,296,30.8
Friday,Peter Jackson,adventure,The Hobbit: An Unexpected Journey,14/12/2012,WB,"1,053.40",250,"1,017",8,3.79,714,70.2,767,306.8,169,303,29.8
Wednesday,David Yates,adventure,Harry Potter and the Order of the Phoenix,11/07/2007,WB,"1,078.20",150,939.9,7.4,3.74,647.9,68.9,789.9,526.6,138,292,31.1
Friday,Sam Raimi,action,Spider-Man,3/05/2002,Sony,"1,086.20",139,821.7,7.3,3.57,418,50.9,682.7,491.2,121,403.7,49.1
Wednesday,Robert Zemeckis,drama,Forrest Gump,6/07/1994,Paramount Pictures,"1,087.80",55,677.9,8.8,4.04,347.7,51.3,622.9,1132.6,142,330.3,48.7
Friday,Mike Newell,adventure,Harry Potter and the Goblet of Fire,18/11/2005,WB,"1,092.10",150,896.9,7.6,3.72,606.9,67.7,746.9,497.9,157,290,32.3
Friday,Gore Verbinski,action,Pirates of the Caribbean: At World's End,25/05/2007,Buena Vista Studios,"1,105.20",300,963.4,7.1,3.4,654,67.9,663.4,221.1,169,309.4,32.1
Friday,Rob Marshall,action,Pirates of the Caribbean: On Stranger Tides,20/05/2011,Buena Vista Studios,"1,105.50",250,"1,045.70",6.7,3.34,804.6,76.9,795.7,318.3,137,241.1,23.1
Friday,Michael Bay,action,Transformers: Age of Extinction,27/06/2014,Paramount Pictures,"1,109",210,"1,104",5.8,2.53,858.6,77.8,894,425.7,165,245.4,22.2
Friday,Christopher Nolan,action,The Dark Knight,18/07/2008,WB,"1,109.60",185,"1,004.60",9,4.5,469.7,46.8,819.6,443,152,534.9,53.2
Friday,Tim Burton,adventure,Alice in Wonderland,5/03/2010,Buena Vista Studios,"1,118.40",200,"1,025.50",6.5,3.27,691.3,67.4,825.5,412.8,108,334.2,32.6
Friday,Christopher Nolan,action,The Dark Knight Rises,20/07/2012,WB,"1,123.20",275,"1,084.40",8.5,4.01,636.3,58.7,809.4,294.3,165,448.1,41.3
Wednesday,Richard Marquand,action,Return of the Jedi,25/05/1983,Fox,"1,134.30",32.5,475.1,8.4,3.99,165.8,34.9,442.6,1361.9,134,309.3,65.1
Thursday,Sam Mendes,action,Skyfall,8/11/2012,Sony,"1,148.20",200,"1,108.60",7.8,3.81,804.2,72.5,908.6,454.3,143,304.4,27.5
Wednesday,"Andrew Adamson, Kelly Asbury, Conrad Vernon",animation,Shrek 2,19/05/2004,DreamWorks,"1,157.90",70,919.8,7.2,3.59,478.6,52,849.8,1214,93,441.2,48
Friday,Lee Unkrich,animation,Toy Story 3,18/06/2010,Buena Vista Studios,"1,159.50",200,"1,063.20",8.4,4.01,648.2,61,863.2,431.6,103,415,39
Friday,Chris Columbus,adventure,Harry Potter and the Chamber of Secrets,15/11/2002,WB,"1,161.90",100,879,7.3,3.58,617,70.2,779,779,161,262,29.8
Wednesday,Peter Jackson,action,The Lord of the Rings: The Fellowship of the Ring,19/12/2001,New Line Cinema,"1,170.20",109,871.5,8.8,4.14,556,63.8,762.5,699.5,178,315.5,36.2
Wednesday,Michael Bay,action,Transformers: Dark of the Moon,29/06/2011,Pacific Data/DreamWorks,"1,188.10",195,"1,123.80",6.3,2.97,771.4,68.6,928.8,476.3,157,352.4,31.4
Wednesday,Steven Spielberg,drama,Close Encounters of the Third Kind,16/11/1977,Colombia Pictures,"1,192.20",20,303.8,7.7,3.78,171.7,56.5,283.8,1419,132,132.1,43.5
Friday,"Andrew Stanton, Lee Unkrich",animation,Finding Nemo,30/05/2003,Buena Vista Studios,"1,210.60",94,936.7,8.2,3.89,555.9,59.3,842.7,896.5,100,380.8,40.7
Wednesday,Peter Jackson,action,The Lord of the Rings: The Two Towers,18/12/2002,New Line Cinema,"1,224.10",94,926,8.7,4.1,583.5,63,832,885.1,179,342.6,37
Wednesday,Roland Emmerich,action,Independence Day,3/07/1996,Fox,"1,238.90",75,817.4,6.9,3.4,511.2,62.5,742.4,989.9,145,306.2,37.5
Friday,Shane Black,action,Iron Man 3,3/05/2013,Buena Vista Studios,"1,240.70",200,"1,215.40",7.3,3.68,806.4,66.3,"1,015.40",507.7,130,409,33.7
Friday,Colin Trevorrow,action,Jurassic World,12/06/2015,Universal,"1,245.90",215,"1,245.90",7.5,3.45,745.5,59.8,"1,030.90",479.5,124,500.4,40.2
Friday,Gore Verbinski,action,Pirates of the Caribbean: Dead Man's Chest,7/07/2006,Buena Vista Studios,"1,257.70",225,"1,066.20",7.3,3.47,642.9,60.3,841.2,373.9,151,423.3,39.7
Friday,"Chris Buck, Jennifer Lee",animation,Frozen,22/11/2013,Buena Vista Studios,"1,300.70",150,"1,274.20",7.7,3.71,873.5,68.6,"1,124.20",749.5,102,400.7,31.4
Friday,Chris Columbus,adventure,Harry Potter and the Sorcerer's Stone,16/11/2001,WB,"1,308.90",125,974.8,7.5,3.62,657.2,67.4,849.8,679.8,152,317.6,32.6
Friday,Joss Whedon,action,Avengers: Age of Ultron,1/05/2015,Buena Vista Studios,"1,371.60",250,"1,371.60",7.9,3.75,919.1,67,"1,121.60",448.6,141,452.5,33
Wednesday,Francis Ford Coppola,crime,The Godfather,15/03/1972,Paramount Pictures,"1,394.40",7,245.1,9.2,4.36,110.1,44.9,238.1,3401.4,175,135,55.1
Friday,David Yates,fantasy,Harry Potter and the Deathly Hallows Part 2,15/07/2011,WB,"1,418.20",125,"1,341.50",8.1,3.96,960.5,71.6,"1,216.50",973.2,130,381,28.4
Friday,Randal Kleiser,musical,Grease,16/06/1978,Paramount Pictures,"1,440.70",6,395,7.2,3.31,206.2,52.2,389,6483.3,110,188.8,47.8
Wednesday,Peter Jackson,fantasy,The Lord of the Rings: The Return of the King,17/12/2003,New Line Cinema,"1,447.40",94,"1,119.90",8.9,4.14,742.1,66.3,"1,025.90",1091.4,201,377.8,33.7
Wednesday,George Lucas,sci-fi,Star Wars: Episode I - The Phantom Menace,19/05/1999,Fox,"1,465.90",115,"1,027",6.6,3.1,552.5,53.8,912,793,136,474.5,46.2
Friday,James Wan,action,Furious 7,3/04/2015,Universal,"1,511.60",190,"1,511.60",7.6,3.34,"1,160.60",76.8,"1,321.60",695.6,137,351,23.2
Wednesday,Irvin Kershner,sci-fi,The Empire Strikes Back,21/05/1980,Fox,"1,553.80",23,538.4,8.8,4.18,247.9,46,515.4,2240.9,124,290.5,54
Friday,Joss Whedon,action,Marvel's The Avengers,4/05/2012,Buena Vista Studios,"1,572.90",220,"1,518.60",8.2,3.95,895.2,59,"1,298.60",590.3,143,623.4,41
Wednesday,"Roger Allers, Rob Minkoff",animation,The Lion King,15/06/1994,Buena Vista Studios,"1,584.60",79.3,987.5,8.5,3.78,564.7,57.2,908.2,1145.3,89,422.8,42.8
Friday,Steven Spielberg,adventure,Jurassic Park,11/06/1993,Universal,"1,693.80",63,"1,029.20",8.1,3.66,626.7,60.9,966.2,1533.7,127,402.5,39.1
Wednesday,"Wolfgang Reitherman, Clyde Geronimi, Hamilton Luske",animation,101 Dalmatians,25/01/1961,Disney,"1,717.10",75,215.9,6.4,3.42,71,32.9,140.9,187.9,79,144.9,67.1
Friday,Steven Spielberg,adventure,E.T.: The Extra-Terrestrial,11/06/1982,Universal,"1,953.90",10.5,792.9,7.9,3.76,357.8,45.1,782.4,7451.4,115,435.1,54.9
Friday,Steven Spielberg,thriller,Jaws,20/06/1975,Universal,"2,080.60",12,470.7,8.1,3.81,210.7,44.8,458.7,3822.5,124,260,55.2
Tuesday,Richard Fleischer,adventure,Doctor Dolittle,19/12/1967,Fox,"2,096.80",70.5,294.5,5.3,3.01,150.3,51,224,317.7,152,144.2,49
Wednesday,William Friedkin,horror,The Exorcist,26/12/1973,WB,"2,363.60",12,441.3,6.9,3.39,208.4,47.2,429.3,3577.5,122,232.9,52.8
Wednesday,George Lucas,action,Star Wars,25/05/1977,Fox,"3,042.80",11,775.4,8.7,4.19,314.4,40.5,764.4,6949.1,121,461,59.5
Friday,James Cameron,sci-fi,Avatar,18/12/2009,Fox,"3,090.40",237,"2,788",7.9,3.78,"2,027.50",72.7,"2,551",1076.4,162,760.5,27.3
Wednesday,James Cameron,drama,Titanic,17/12/1997,Paramount Pictures,"3,240.10",200,"2,186.80",7.7,3.38,"1,528.10",69.9,"1,986.80",993.4,194,658.7,30.1
Friday,"George Cukor, Victor Fleming, Sam Wood",drama,Gone with the Wind,15/12/1939,MGM,"6,846.70",3.9,400.2,8.2,3.83,201.5,50.4,396.3,10161.5,238,198.7,49.6
